Kabupaten,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
CILACAP,5.19,5.67,5.08,5.44,5.22,6.05,11.47,9.78,5.55,5.12
BANYUMAS,5.71,4.47,5.18,5.51,5.02,6.21,7.39,6.96,5.98,8.22
PURBALINGGA,3.30,2.19,3.80,3.13,3.73,3.34,8.71,7.41,3.21,4.65
BANJARNEGARA,2.73,2.34,3.76,2.80,2.57,2.99,3.31,5.45,4.21,6.05
KEBUMEN,4.17,2.55,3.26,4.16,3.15,4.15,4.30,9.29,4.61,4.34
PURWOREJO,1.87,2.12,1.48,3.05,1.78,1.83,5.00,4.90,3.12,2.09
WONOSOBO,2.13,1.95,3.00,1.78,1.62,2.06,0.45,2.32,3.57,0.84
MAGELANG,3.95,3.01,4.22,4.15,3.01,3.64,1.44,3.35,5.69,3.67
BOYOLALI,2.19,3.07,1.61,2.74,2.11,1.82,1.71,2.34,3.41,1.55
KLATEN,3.84,5.15,1.93,4.64,4.04,3.78,8.71,4.45,3.99,3.09
SUKOHARJO,2.04,2.53,1.00,2.40,2.25,1.78,2.23,0.41,1.39,0.80
WONOGIRI,2.22,2.36,1.66,3.25,2.61,1.76,1.40,2.64,3.94,0.58
KARANGANYAR,3.79,1.95,1.22,2.05,1.81,1.72,1.98,1.36,2.20,0.93
SRAGEN,1.81,2.19,1.12,2.16,1.47,1.50,1.15,2.06,2.44,0.78
GROBOGAN,4.07,7.00,4.40,4.30,4.05,3.75,3.27,3.34,5.74,3.52
BLORA,2.44,3.51,2.23,2.74,2.17,2.14,1.28,2.68,4.03,2.32
REMBANG,2.24,2.36,1.94,2.18,2.21,2.33,1.32,0.55,2.56,2.74
PATI,3.99,6.35,3.16,5.52,5.77,4.28,3.84,0.02,3.88,2.82
KUDUS,1.52,1.69,1.59,1.68,1.91,1.39,0.37,0.13,0.86,0.52
JEPARA,3.63,5.77,3.65,3.99,6.90,4.08,3.24,3.09,4.34,2.03
DEMAK  ,3.65,5.13,3.17,3.68,5.30,3.91,2.61,0.00,1.86,3.45
SEMARANG,1.76,2.19,1.61,2.33,1.88,1.61,0.92,0.49,2.67,1.56
TEMANGGUNG,2.09,1.34,2.10,1.98,1.35,1.73,0.93,1.06,2.84,1.40
KENDAL,2.29,3.52,2.32,3.03,3.25,2.53,1.68,1.50,2.74,4.25
BATANG,2.05,1.41,2.45,1.49,1.19,1.94,0.52,1.44,2.35,3.63
PEKALONGAN,3.29,1.36,4.27,2.11,2.40,3.06,2.97,2.65,1.90,3.66
PEMALANG,5.00,2.93,7.03,3.52,3.63,5.74,1.44,5.46,2.91,7.10
TEGAL,4.78,3.91,6.70,4.84,6.35,5.82,3.00,5.99,2.98,5.98
BREBES,7.45,4.26,10.94,5.13,4.99,8.17,5.61,7.11,3.97,11.40
KOTA MAGELANG,0.24,0.26,0.19,0.22,0.26,0.26,0.12,0.17,0.07,0.06
KOTA SURAKARTA,1.01,1.31,0.55,0.78,1.25,0.95,2.40,0.75,0.20,0.03
KOTA SALATIGA,0.23,0.25,0.12,0.25,0.19,0.20,0.34,0.18,0.16,0.03
KOTA SEMARANG,1.91,2.45,1.40,1.83,2.74,1.90,3.16,0.00,0.39,0.28
KOTA PEKALONGAN,0.84,0.78,1.07,0.52,0.63,0.89,0.57,0.32,0.14,0.25
KOTA TEGAL,0.59,0.65,0.75,0.63,1.21,0.71,1.15,0.36,0.12,0.27
